Country,WB Code,CPI2016,CPI 2015
Qatar,QAT,61,71
Bahrain,BHR,43,51
Kuwait,KWT,41,49
Cyprus,CYP,55,61
Saudi Arabia,SAU,46,52
Malta,MLT,55,60
Jordan,JOR,48,53
Lesotho,LSO,39,44
The FYR of Macedonia,MKD,37,42
Syria,SYR,13,18
Luxembourg,LUX,81,85
Chile,CHL,66,70
United Arab Emirates,ARE,66,70
Ghana,GHA,43,47
Trinidad and Tobago,TTO,35,39
Djibouti,DJI,30,34
Mauritania,MRT,27,31
Mozambique,MOZ,27,31
Central African Republic,CAF,20,24
Yemen,YEM,14,18
South Sudan,SSD,11,15
Norway,NOR,85,88
Japan,JPN,72,75
Uruguay,URY,71,74
Botswana,BWA,60,63
Hungary,HUN,48,51
El Salvador,SLV,36,39
Thailand,THA,35,38
Mali,MLI,32,35
Moldova,MDA,30,33
Republic of Congo,COG,20,23
The United States of America,USA,74,76
Ireland,IRL,73,75
Portugal,PRT,62,64
Croatia,HRV,49,51
Greece,GRC,44,46
Jamaica,JAM,39,41
Algeria,DZA,34,36
Egypt,EGY,34,36
Armenia,ARM,33,35
Dominican Republic,DOM,31,33
Gambia,GMB,26,28
Madagascar,MDG,26,28
Comoros,COM,24,26
Chad,TCD,20,22
Libya,LBY,14,16
New Zealand,NZL,90,91
Denmark,DNK,90,91
Finland,FIN,89,90
Sweden,SWE,88,89
Singapore,SGP,84,85
Netherlands,NLD,83,84
Canada,CAN,82,83
Iceland,ISL,78,79
Austria,AUT,75,76
France,FRA,69,70
Poland,POL,62,63
Taiwan,TWN,61,62
Czech Republic,CZE,55,56
Korea (South),KOR,53,54
Namibia,NAM,52,53
Malaysia,MYS,49,50
Turkey,TUR,41,42
Panama,PAN,38,39
Mongolia,MNG,38,39
Sri Lanka,LKA,36,37
Benin,BEN,36,37
Peru,PER,35,36
Bolivia,BOL,33,34
Ecuador,ECU,31,32
Honduras,HND,30,31
Mexico,MEX,30,31
Nicaragua,NIC,26,27
Cameroon,CMR,26,27
Tajikistan,TJK,25,26
The Democratic Republic of Congo,COD,21,22
Burundi,BDI,20,21
Guinea-Bissau,GNB,16,17
Switzerland,CHE,86,86
Germany,DEU,81,81
United Kingdom,GBR,81,81
Australia,AUS,79,79
Belgium,BEL,77,77
Estonia,EST,70,70
Bhutan,BTN,65,65
Lithuania,LTU,59,59
Spain,ESP,58,58
Rwanda,RWA,54,54
Slovakia,SVK,51,51
Cuba,CUB,47,47
Oman,OMN,45,45
Bulgaria,BGR,41,41
Zambia,ZMB,38,38
Colombia,COL,37,37
Liberia,LBR,37,37
Philippines,PHL,35,35
Togo,TGO,32,32
Malawi,MWI,31,31
Russia,RUS,29,29
Guatemala,GTM,28,28
Kyrgyzstan,KGZ,28,28
Lebanon,LBN,28,28
Uganda,UGA,25,25
Cambodia,KHM,21,21
Eritrea,ERI,18,18
Venezuela,VEN,17,17
Slovenia,SVN,61,60
Latvia,LVA,57,56
Mauritius,MUS,54,53
Montenegro,MON,45,44
Senegal,SEN,45,44
South Africa,ZAF,45,44
Bosnia and Herzegovina,BIH,39,38
Indonesia,IDN,37,36
Morocco,MAR,37,36
Gabon,GAB,35,34
Niger,NER,35,34
Ethiopia,ETH,34,33
Azerbaijan,AZE,30,29
Sierra Leone,SLE,30,29
Kazakhstan,KAZ,29,28
Bangladesh,BGD,26,25
Kenya,KEN,26,25
Zimbabwe,ZWE,22,21
Iraq,IRQ,17,16
Hong Kong,HKG,77,75
Romania,ROM,48,46
Serbia,SCG,42,40
Brazil,BRA,40,38
India,IND,40,38
Côte d’Ivoire,CIV,34,32
Vietnam,VNM,33,31
Pakistan,PAK,32,30
Tanzania,TZA,32,30
Nepal,NPL,29,27
Ukraine,UKR,29,27
Iran,IRN,29,27
Nigeria,NGA,28,26
Guinea,GIN,27,25
Uzbekistan,UZB,21,19
Sudan,SDN,14,12
Somalia,SOM,10,8
Israel,ISR,64,61
Costa Rica,CRI,58,55
Italy,ITA,47,44
Tunisia,TUN,41,38
China,CHN,40,37
Albania,ALB,39,36
Kosovo,LWI,36,33
Paraguay,PRY,30,27
Papua New Guinea,PNG,28,25
Haiti,HTI,20,17
Angola,AGO,18,15
Cape Verde,CPV,59,55
Sao Tome and Principe,STP,46,42
Burkina Faso,BFA,42,38
Argentina,ARG,36,32
Turkmenistan,TKM,22,18
Afghanistan,AFG,15,11
Korea (North),PRK,12,8
Georgia,GEO,57,52
Guyana,GUY,34,29
Laos,LAO,30,25
Myanmar,MMR,28,22
Timor-Leste,TLS,35,28
Belarus,BLR,40,32
Suriname,SUR,45,36
Bahamas,BHS,66,#N/A
Barbados,BRB,61,#N/A
Saint Lucia,LCA,60,#N/A
Saint Vincent and The Grenadines,VCT,60,#N/A
Dominica,DMA,59,#N/A
Brunei,BRN,58,#N/A
Grenada,GRD,56,#N/A
Solomon Islands,SLB,42,#N/A
Maldives,MDV,36,#N/A
