happy,gdp_chg,life_expectancy_chg,pressfreedom_chg,corruption_chg,infant_mortality_chg
7.493999958,0.055154123,0,-70.38422659,0,0
7.504000187,0.695174359,0,-76.40712987,-0.634927054,-11.42506485
7.521999836,0.134228458,0.495662949,-63.79420261,-0.55096838,2.138984327
7.537000179,-0.410980933,0,-68.63697667,-1.719325862,-5.900130809
7.315999985,-0.038095082,0.21472735,-73.35707556,-0.604235139,-3.022608689
7.468999863,0.171085925,0.252373514,-65.2312351,-0.557107399,-7.400058144
7.376999855,0.248870086,0,-64.57506701,-0.597020261,-2.577358202
7.28399992,0.258644777,0.361760164,-77.65616007,-0.563384765,0
7.31400013,0.273372755,0.063818313,-62.64751429,-0.55096838,-1.44024219
7.28399992,0.062656076,0.18374181,-77.56446626,0,-2.729542725
7.212999821,0.346678495,-0.124691988,-82.9077277,2.429503946,-3.085852218
7.078999996,0.467455368,0.241823708,-68.88303416,2.69106361,-1.240645055
7.006000042,0.122471171,0.43398881,-72.15364294,-0.66007322,-3.085852218
6.578000069,0.360482503,0.237545098,-86.52583875,-1.626124632,-0.92015666
6.993000031,0.202666346,0,-78.55091668,-1.324561793,-1.016944618
6.635000229,-0.328491622,0.321349644,-83.9970777,2.597835209,-1.378054344
6.862999916,0.138065416,0,-73.41188345,-2.381293982,-6.576049112
6.977000237,0.119350277,0.188888548,-69.73925316,-1.342342754,-2.898158178
6.890999794,0.157026549,0,-75.09669452,0,-2.729542725
6.647999763,0.272953205,0.200283616,-83.35665482,-2.899168754,-0.790590288
6.714000225,0.18750342,0.368981551,-78.25783205,0,0
5.25,-0.677376004,0.222786536,-85.46589369,0,-0.796997712
6.572000027,0.17474951,0.121219289,-86.50221601,-0.58997565,6.270073338
6.452000141,0.445233242,0.247341596,-81.47286392,-1.290376641,-1.046084407
6.951000214,0.14017283,0,-77.23664794,0,-2.577358202
6.65199995,0.159125435,0.248459954,-76.77887305,-2.899168754,-0.693872937
6.375,0.001461956,0.20330521,-82.45454176,-7.309389387,-0.679779566
6.441999912,0.0656208,0,-80.29929569,-0.716855121,0
6.598999977,-0.201926603,0.20887434,-81.28440513,6.066017178,-1.698400265
6.609000206,0.271290011,0.823070737,-75.31706459,-0.896879103,0
6.453999996,0.239741036,0.194248526,-73.70953936,-2.047998517,-0.604911557
6.356999874,0.248668525,0.239586933,-85.40076969,0,-1.435117277
6.423999786,0.431806102,0.272428787,-85.19044501,-4.028513006,-1.183876058
6.343999863,0.071735788,0.238042705,-86.50301907,-5.946005687,-1.095829254
6.402999878,0.434791541,0.181690303,-79.08366802,0,-3.53214436
6.52699995,0.521866512,0,-79.12775956,-4.257289224,-0.938023133
6.105000019,-0.095790263,0.165285051,-82.70213171,-8.526796608,-2.026002944
6.168000221,-0.412543575,0.183360412,-80.50268349,-5.266906657,-1.053678616
6.002999783,0.347269534,0.340600485,-82.46435292,-3.923107717,-1.180042826
6.453999996,0.258653005,0.386123424,-84.18577444,0,-0.901350904
5.971000195,0.812483999,0.214516717,-86.81154855,5.131496608,-2.163622686
6.09800005,0.232384116,0.520750643,-70.29959477,0,-1.255264783
5.920000076,0.179788635,0.306089699,-81.0747681,-2.020410289,0
5.837999821,0.362689398,0,-81.61468908,-0.930252777,-3.085852218
6.007999897,-0.176694272,0.292356017,-82.53538091,-1.574901575,-0.952994339
6.086999893,0.118369704,0.182119082,-86.12498561,-8.177494322,-0.809057161
5.964000225,0.228157007,0.481404292,-82.70308192,3.352881826,-3.295854789
5.822999954,0.448965585,0.584471041,-81.68454096,-1.481563386,-0.975397489
5.837999821,0.631346469,0.294451412,-80.87226406,-4.653741075,-0.550669431
5.493000031,0.441313115,0.151593747,-82.52684128,5.409255339,-1.209441447
5.818999767,0.085932519,0.530578051,-86.52768174,1.77004892,-4.27905811
5.757999897,0.273532775,0,-79.07310926,0.829889748,-8.423602698
5.90199995,0.340428322,0.808457719,-76.82822189,0,3.375513019
6.071000099,0.558961196,0.354700612,-80.67778516,-1.869323707,-1.028784095
5.715000153,0.408839972,0.306165886,-82.61286052,-1.398670282,-1.634751168
5.568999767,-0.159157165,0.895781795,-86.66999944,11.80339887,-3.085852218
5.97300005,0.342543312,0.776314556,-78.46420934,-0.796825448,-3.399811183
6.084000111,0.388542667,0.221824885,-85.2960547,-1.005050634,0.728946041
5.293000221,0.479729281,-0.261285646,-80.50996379,-1.980394118,-1.750024136
5.962999821,-0.228868869,0.23306407,-85.88418807,0,-1.557337942
5.31099987,0.258717244,0.195809153,-71.34206783,-2.46951696,-1.143761107
5.620999813,0.31342597,0.210928206,-75.63748475,-5.045308475,-5.900130809
5.872000217,0.324757417,0.291225251,-84.38660536,-2.817468419,-0.446893953
5.822000027,0.577540647,0.222794975,-89.00346251,10.55415968,-0.776691219
5.629000187,0.491640886,0.214006058,-81.34958276,0.938987737,-1.580343493
5.472000122,0.253144602,0.354321567,-80.95541509,1.324561024,-0.952350916
5.611000061,0.139534497,0.126646409,-74.2765027,0,-9.09990749
5.262000084,0.543863472,0.247059803,-84.97561463,1.379375505,-0.991480813
5.073999882,0.719208266,0.258803993,-88.42062744,3.175390914,-0.599477218
5.5,0.077887456,0.339246758,-86.14503469,-1.197647994,-2.879589115
5.004000187,0.364850508,0.353369135,-81.56307855,0,-1.901310286
5.073999882,-0.329150241,0.830936854,-82.45125348,3.774904333,-0.72996599
5.011000156,0.663331321,0.560584397,-81.96073993,0,-1.101766506
5.234000206,-0.307185629,0.16791834,-87.16239609,1.709525543,-1.081207649
5.269000053,0.574183864,0.276610486,-86.74050692,3.279555899,-0.551855887
5.335999966,0.011444358,0.19727634,-85.29518792,-4.833809714,-0.953914854
5.272999763,0.756937565,0.210516515,-89.31946049,3.975048982,-3.566023626
4.513999939,0.187733872,1.028148562,-82.78258966,0,-0.593716104
5.195000172,0.301537926,0.493084787,-77.00552443,-1.574901575,0
5.849999905,0.43106568,0,-75.1720955,0.88890637,-6.693916355
5.429999828,0.723373311,0.202820653,-85.64852632,0,-0.889161148
5.235000134,0.1154842,0.352135386,-84.72546014,1.379375505,-1.060849548
5.175000191,0.789851771,0.220702606,-83.43503998,-6.140936455,0.802444622
4.644000053,0.386863383,0.262513238,-81.7181894,4.083299973,-1.616246251
5.18200016,0.348416543,0.231131924,-81.4972623,1.307245026,-1.142178873
5.230000019,0.690465806,0.255029262,-81.45875677,-3.07766308,-0.712977417
4.954999924,0.063226173,0.338646127,-80.51242151,-1.290376641,-1.599663678
5.227000237,0.157166421,0.185689895,-81.68738948,-2.198070616,0
5.224999905,0.045886666,0.216795286,-82.04741108,0,-2.155920343
5.323999882,0.090369944,0.260760396,-80.88003833,-2.985749985,-2.912852066
5.181000233,0.375965461,0.266248571,-85.38263213,-1.626124632,-1.310384346
5.040999889,0.733246264,0.254347074,-85.91550657,-1.941932431,-0.873223538
4.804999828,0.141957836,0.242592999,-82.03713171,3.872391347,-1.348328946
4.607999802,0.874999907,0.48691129,-85.04680497,1.980390272,-1.528245964
4.096000195,0.444414638,0.004111491,-83.68049943,3.637545034,-1.804148208
4.497000217,0.907341493,0.301041648,-86.83198724,3.07764064,-0.926140413
4.828999996,-0.003335721,1.606628819,-79.53680521,1.129979369,-1.045152281
4.119999886,0.309869495,0.472461035,-76.39696918,-4.34992854,-0.766185459
3.875,-0.044425951,1.747044174,-84.07557481,2.353263144,-1.305363212
3.532999992,-0.418017455,0.778806378,-81.83480862,0,-0.823096949
4.315000057,0.805493456,0.415261233,-85.45625467,2.597835209,-1.25953447
4.138999939,0.414064757,0.398099239,-88.17494463,8.012344973,-0.633926533
3.602999926,0.196999517,0.474596105,-79.18005247,8.465228909,-0.637649692
4.28000021,0.031328134,0.722757103,-85.76140866,-2.299157908,-0.636583639
4.961999893,0.09389583,0.533645348,-82.38411049,3.637545034,-1.221604858
4.460000038,0.823797186,0.777266031,-84.77197296,1.503843785,-1.020353777
4.709000111,0.693044649,0.92308561,-81.48475411,1.709525543,-0.76787438
4.291999817,0.059232892,0.280135624,-78.67477657,-6.674347474,-0.587465415
4.552999973,0.552828485,0.682102912,-83.16753011,1.980390272,-0.694035461
4.375999928,0.136359464,0.252108613,-80.8551389,-2.899168754,-1.94756647
3.766000032,0.2395027,1.633383229,-78.20604499,-2.409992705,-1.109796202
4.545000076,0.778368111,0.269479131,-85.78091802,12.81521496,-0.856893357
4.285999775,0.431214711,0.199789252,-81.15602307,4.697366068,-3.061328695
3.970000029,0.123453503,1.175664749,-80.85925087,0,-1.350958106
4.440000057,0.476745868,0.23296595,-85.18943789,-1.360607617,-1.73958073
4.695000172,0.386758748,0.822780489,-84.08825331,-1.869323707,-0.792594302
4.714000225,0.517341756,0,-82.82958538,0,-3.808396405
4.735000134,0.376801088,0.261705399,-86.66636311,-2.817468419,-1.181274867
3.592999935,-1.439991093,0.338740945,-87.94609636,-11.80828963,0
3.795000076,-0.234203147,0.629222685,-84.06198914,9.544511501,-1.020995866
4.190000057,0.465194389,0.826508535,-84.46830246,-4.381711253,-0.548153493
4.290999889,-0.36255305,0.905946261,-83.09004456,-6.749519176,-0.491144539
4.080999851,0.341278414,0.596646805,-82.13427598,0,-1.0635075
4.534999847,0.625964301,0.609150276,-81.53219295,1.129979369,-0.988594431
4.465000153,0.102670676,0.738294342,-81.74293359,1.459931239,-1.196287383
4.027999878,0.343836951,0.74504057,-78.81267042,1.459931239,-0.685708173
4.168000221,0.783886557,0.537109168,-84.06354038,0,-1.346245064
3.348999977,0.627393293,1.2240296,-80.67628547,3.279555899,-0.78755697
3.644000053,0.374751727,0.62443007,-80.88693852,-3.637588834,-0.974027215
3.936000109,-1.179184482,0.714584863,-84.48480267,-4.653741075,-0.484966984
3.506999969,0.5448159,0.975860148,-83.44248617,3.923048454,-0.702004153
4.179999828,0.882150323,1.010847413,-81.76394471,3.07764064,-0.707498723
4.032000065,0.551644806,0.790507025,-78.44816338,5.131496608,-0.794439573
3.79399991,0.109595379,0.628768395,-84.94720779,16.77484162,-0.785291408
3.470999956,0.615570157,0.767676506,-86.53003118,0,-1.179516066
3.657000065,0.319585001,0.441925198,-80.99288934,-1.360607617,-0.563638022
2.904999971,-0.361886116,0.716555985,-86.19482266,-2.409992705,-0.881987968
3.494999886,0.494717396,0.583060073,-81.70482266,0,-0.689043805
