,Country,Region,happy2015,happy2016,happy,happychg,Country Code,gdp2014,gdp2015,gdp,life2014,life_expectancy,infant2015,infant_mort,pressfreedom,press2015,corruption,corrupt2015,gini2017,murder2016,gdp_chg,crime,life_expectancy_chg,pressfreedom_chg,corruption_chg,infant_mortality_chg
0,Switzerland,W. Europe,7.587,7.509,7.493999958,-0.093000042,CHE,11.02235891,11.04291603,11.04900665,83.19756098,83.19756098,1.280933845,1.280933845,3.482814953,11.76,9.273618495,9.273618495,32.5,0.7,0.055154123,-0.356674944,0,-70.38422659,0,0
1,Iceland,W. Europe,7.561,7.501,7.504000187,-0.056999813,ISL,10.69852469,10.77248501,10.84737257,82.86097561,82.86097561,0.530628251,0.470003629,3.60970913,15.3,8.831760866,8.888194417,25.6,0.9,0.695174359,-0.105360516,0,-76.40712987,-0.634927054,-11.42506485
2,Denmark,W. Europe,7.527,7.526,7.521999836,-0.005000164,DNK,10.7748975,10.79918349,10.81367907,80.7,81.1,1.280933845,1.30833282,3.218695388,8.89,9.486832981,9.539392014,28.5,1,0.134228458,0,0.495662949,-63.79420261,-0.55096838,2.138984327
3,Norway,W. Europe,7.522,7.498,7.537000179,0.015000179,NOR,11.09217604,11.03574757,10.99039275,82.1,82.1,0.78845736,0.741937345,2.75680975,8.79,9.219544457,9.38083152,26.8,0.6,-0.410980933,-0.510825624,0,-68.63697667,-1.719325862,-5.900130809
4,Canada,N. America,7.427,7.404,7.315999985,-0.111000015,CAN,10.71623855,10.69659198,10.6925171,81.95304878,82.12902439,1.504077397,1.458615023,4.06571027,15.26,9.055385138,9.110433579,34,1.7,-0.038095082,0.530628251,0.21472735,-73.35707556,-0.604235139,-3.022608689
5,Finland,W. Europe,7.406,7.413,7.468999863,0.062999863,FIN,10.6337318,10.65195685,10.67018085,81.1804878,81.38536585,0.693147181,0.641853886,2.986636905,8.59,9.433981132,9.486832981,26.8,1.6,0.171085925,0.470003629,0.252373514,-65.2312351,-0.557107399,-7.400058144
6,Netherlands,W. Europe,7.378,7.339,7.376999855,-0.001000145,NLD,10.79982089,10.81067611,10.83758065,81.70731707,81.70731707,1.193922468,1.16315081,3.10322413,8.76,9.110433579,9.16515139,28.6,0.6,0.248870086,-0.510825624,0,-64.57506701,-0.597020261,-2.577358202
7,Sweden,W. Europe,7.364,7.291,7.28399992,-0.08000008,SWE,10.74515697,10.7752682,10.80313787,82.25365854,82.55121951,0.875468737,0.875468737,2.754995463,12.33,9.38083152,9.433981132,27.2,1.1,0.258644777,0.09531018,0.361760164,-77.65616007,-0.563384765,0
8,New Zealand,Australasia,7.286,7.334,7.31400013,0.02800013,NZL,10.52358681,10.54399631,10.57282073,81.40487805,81.45682927,1.526056303,1.504077397,3.738983819,10.01,9.486832981,9.539392014,34.93251534,0.9,0.273372755,-0.105360516,0.063818313,-62.64751429,-0.55096838,-1.44024219
9,Australia,Australasia,7.284,7.313,7.28399992,-8.00E-08,AUS,10.74604621,10.74668977,10.75342323,82.3,82.45121951,1.16315081,1.131402111,4.002499219,17.84,8.888194417,8.888194417,34.7,1,0.062656076,0,0.18374181,-77.56446626,0,-2.729542725
