Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35973.78051,,,,,
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875.5176104,922.8294492,916.3344748,1011.595524,1065.619665,1210.479265,1247.066144,1482.098837,1581.600836,1660.739856,1873.153946,1877.411953,1875.447407,1861.124332,1876.544682
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2840.200763,2811.287126,2591.326276,1932.804031,1978.438032,2162.917203,2380.132838,2541.712498,2670.62003,2721.155559,2781.25814,2870.036714,2620.889012,2715.943441,2985.598585,3516.402658,4222.663033,5128.361253,5743.110048,5718.694408,5775.864013,5911.254334,6109.136612,6400.673376,6594.397826,6634.402274,6499.067104
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2721.615212,1992.073688,1902.286383,2147.575112,2389.946945,2781.413989,3109.183498,2837.351504,3208.957773,3690.688729,4026.537422,4463.632986,4754.675856,5114.784779,5524.921661,5942.870083,6634.779222,7289.632366,8228.357428,8823.802984,9646.615727,10207.70067,10526.24833,10584.44692,11325.32157,11504.74824,11928.53656
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6754.471722,6816.492509,7187.690031,7388.872568,7577.484715,7708.798421,8023.296095,8321.104079,8694.599462,8844.907201,9314.211026,9496.037906,9494.040526,9897.145884,10861.49098,11574.33758,12373.37315,12965.8833,13661.611,13559.66227,14051.3563,14429.0223,15090.16615,15526.3545,15911.40618,16281.52746,16716.28847
United Arab Emirates,ARE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71786.11283,70641.76565,70495.96053,69085.12599,71492.9296,74045.22988,75977.39342,79612.86778,76783.54247,76193.70048,81818.62052,80488.68974,79388.01098,82571.361,85090.28276,82205.94527,81305.37481,74698.27439,68902.19905,59160.00185,56415.07405,58404.01559,60914.80308,64713.13121,67551.0024,70245.9325,72418.61086
Argentina,ARG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6990.554045,8024.592354,9061.645587,9693.967279,10342.47624,10129.77779,10754.19842,11688.7464,12132.51039,11769.14997,11810.06136,11419.05887,10217.2731,11217.57193,12430.71372,13817.71407,15227.5125,16865.54476,17711.44179,16618.12085,18333.5437,19629.35185,19579.00648,20161.49683,19801.25912,20337.71595,19934.37249
Armenia,ARM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2418.860926,2227.669456,1350.108251,1290.473115,1422.709776,1584.60047,1734.655302,1843.378545,2015.105575,2126.915169,2318.238073,2613.784567,3020.453987,3531.968643,4031.947204,4769.489004,5607.645869,6605.216696,7260.968756,6323.578336,6567.258582,7022.103943,7649.491409,7997.387128,8396.742595,8709.541088,8817.953996
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
