Country Code,gini2017
AFG,
ALB,29
DZA,27.6
ASM,
AND,
AGO,42.7
ATG,
ARG,42.7
ARM,32.4
ABW,
AUS,34.7
AUT,3.5
AZE,31.8
BHS,
BHR,
BGD,32.1
BRB,
BLR,26.7
BEL,28.1
BLZ,53.3
BEN,47.8
BMU,
BTN,38.8
BOL,45.8
BIH,33.8
BWA,6.5
BRA,51.3
VGB,
BRN,
BGR,37.4
BFA,35.3
BDI,39.2
CPV,47.2
KHM,
CMR,46.5
CAN,34
CYM,
CAF,56.2
TCD,43.3
CHI,
CHL,47.7
CHN,42.2
COL,51.1
COM,45
COD,42.1
COG,48.9
CRI,48.2
CIV,41.7
HRV,32.2
CUB,
CUW,
CYP,35.6
CZE,25.9
DNK,28.5
DJI,44.1
DMA,
DOM,44.9
ECU,46.5
EGY,31.8
SLV,4.8
GNQ,
ERI,
EST,34.6
ETH,33.2
FRO,
FJI,36.4
FIN,26.8
FRA,32.3
PYF,
GAB,42.2
GMB,47.3
GEO,38.5
DEU,31.4
GHA,42.2
GIB,
GRC,35.8
GRL,
GRD,
GUM,
GTM,48.7
GIN,33.7
GNB,5.7
GUY,
HTI,4.9
HND,5.1
HKG,
HUN,3.9
ISL,25.6
IND,35.2
IDN,39.5
IRN,38.8
IRQ,29.5
IRL,31.9
IMN,
ISR,41.4
ITA,34.7
JAM,45.5
JPN,32.1
JOR,33.7
KAZ,26.5
KEN,48.5
KIR,37
PRK,
KOR,31.6
XKX,26.7
KWT,
KGZ,29
LAO,36.4
LVA,35.1
LBN,31.8
LSO,54.2
LBR,33.2
LBY,
LIE,
LTU,37.7
LUX,31.2
MAC,
MKD,35.6
MDG,42.7
MWI,46.1
MYS,46.3
MDV,38.4
MLI,33
MLT,
MHL,
MRT,32.4
MUS,35.8
MEX,48.2
FSM,4.1
MDA,27
MCO,
MNG,32
MNE,31.9
MAR,4.7
MOZ,45.6
MMR,38.1
NAM,61
NRU,
NPL,32.8
NLD,28.6
NCL,
NZL,
NIC,46.6
NER,34
NGA,43
MNP,
NOR,26.8
OMN,
PAK,3.7
PLW,
PAN,51
PNG,41.8
PRY,48
PER,44.3
PHL,4.1
POL,32.1
PRT,35.6
PRI,
QAT,
ROU,27.5
RUS,37.7
RWA,5.4
WSM,42
SMR,
STP,3.8
SAU,
SEN,4.3
SRB,29.1
SYC,46.8
SLE,34
SGP,45.8
SXM,
SVK,26.1
SVN,25.7
SLB,37
SOM,
ZAF,63.4
SSD,46.3
ESP,36
LKA,39.2
KNA,
LCA,42.6
MAF,
VCT,
SDN,35.4
SUR,57.6
SWZ,51.5
SWE,27.2
CHE,32.5
SYR,35.8
TJK,34
TZA,37.8
THA,37.8
TLS,3.3
TGO,43
TON,37.5
TTO,4.3
TUN,35.8
TUR,41.2
TKM,4.8
TCA,
TUV,39.1
UGA,41
UKR,25.5
ARE,
GBR,34.1
USA,41
URY,41.7
UZB,35.3
VUT,37.3
VEN,46.9
VNM,34.8
VIR,
PSE,34.4
YEM,36.7
ZMB,57.1
ZWE,43.2
ARB,
CSS,
CEB,
EAR,
EAS,
EAP,
TEA,
EMU,
ECS,
ECA,
TEC,
EUU,
FCS,
HPC,
HIC,
IBD,
IBT,
IDB,
IDX,
IDA,
LTE,
LCN,
LAC,
TLA,
LDC,
LMY,
LIC,
LMC,
MEA,
MNA,
TMN,
MIC,
NAC,
INX,
OED,
OSS,
PSS,
PST,
PRE,
SST,
SAS,
TSA,
SSF,
SSA,
TSS,
UMC,
WLD,
