Country Code,murder2016
AFG,6.6
ALB,2.3
DZA,1.4
ASM,
AND,0
AGO,9.6
ATG,11.2
ARG,6.5
ARM,2.5
ABW,3.9
AUS,1
AUT,0.5
AZE,2.5
BHS,29.8
BHR,0.5
BGD,2.5
BRB,10.9
BLR,3.6
BEL,1.9
BLZ,34.4
BEN,6
BMU,6.5
BTN,2.7
BOL,12.4
BIH,1.5
BWA,10.5
BRA,26.7
VGB,
BRN,0.5
BGR,1.8
BFA,0.7
BDI,4
CPV,8.8
KHM,1.8
CMR,5.9
CAN,1.7
CYM,14.7
CAF,13.1
TCD,9
CHI,
CHL,3.6
CHN,0.7
COL,26.5
COM,7.6
COD,13.4
COG,10.1
CRI,11.8
CIV,11.8
HRV,0.9
CUB,4.7
CUW,
CYP,1.3
CZE,0.7
DNK,1
DJI,6.8
DMA,8.4
DOM,17.4
ECU,8.2
EGY,3.2
SLV,108.6
GNQ,3.2
ERI,7.5
EST,3.2
ETH,7.6
FRO,
FJI,3
FIN,1.6
FRA,1.6
PYF,0.4
GAB,9
GMB,9.1
GEO,2.7
DEU,0.8
GHA,1.7
GIB,
GRC,0.8
GRL,12.5
GRD,7.5
GUM,2.5
GTM,31.2
GIN,8.5
GNB,9.2
GUY,19.4
HTI,10
HND,63.8
HKG,0.3
HUN,1.5
ISL,0.9
IND,3.2
IDN,0.5
IRN,4.1
IRQ,66.1
IRL,0.6
IMN,
ISR,1.4
ITA,0.8
JAM,43.2
JPN,0.3
JOR,2
KAZ,4.8
KEN,5.8
KIR,7.5
PRK,4.4
KOR,0.7
XKX,1.6
KWT,1.8
KGZ,5.1
LAO,6.9
LVA,4.1
LBN,3.9
LSO,38
LBR,3.2
LBY,2.5
LIE,0
LTU,6
LUX,0.7
MAC,0.2
MKD,1.6
MDG,0.6
MWI,1.8
MYS,1.9
MDV,0.9
MLI,10.8
MLT,1
MHL,4.7
MRT,10.2
MUS,2.7
MEX,16.3
FSM,4.7
MDA,3.2
MCO,0
MNG,7.2
MNE,2.7
MAR,1
MOZ,3.4
MMR,2.4
NAM,16.9
NRU,1.3
NPL,2.3
NLD,0.6
NCL,3.3
NZL,0.9
NIC,11.5
NER,4.5
NGA,9.8
MNP,
NOR,0.6
OMN,1.1
PAK,7.8
PLW,3.1
PAN,11.4
PNG,10.4
PRY,9.3
PER,7.2
PHL,9.8
POL,0.7
PRT,1
PRI,15.9
QAT,8.1
ROU,1.5
RUS,11.3
RWA,4.5
WSM,3.2
SMR,0
STP,3.4
SAU,1.5
SEN,7.3
SRB,1.1
SYC,2.1
SLE,1.9
SGP,0.2
SXM,
SVK,0.9
SVN,1.2
SLB,3.8
SOM,5.6
ZAF,34.3
SSD,13.7
ESP,0.7
LKA,2.9
KNA,33.6
LCA,21.6
MAF,
VCT,25.6
SDN,6.5
SUR,10.7
SWZ,8.2
SWE,1.1
CHE,0.7
SYR,2.2
TJK,1.4
TZA,7
THA,3.5
TLS,3.7
TGO,9.1
TON,1
TTO,30.9
TUN,3.1
TUR,4.3
TKM,4.2
TCA,6.6
TUV,20.3
UGA,11.8
UKR,4.4
ARE,0.7
GBR,0.9
USA,4.9
URY,8.4
UZB,3
VUT,2.1
VEN,57.1
VNM,1.5
VIR,52.6
PSE,0.6
YEM,6.7
ZMB,5.8
ZWE,6.7
ARB,3.8
CSS,31.5
CEB,1.3
EAR,6
EAS,1.4
EAP,1.5
TEA,1.4
EMU,1
ECS,3.3
ECA,6.1
TEC,5.7
EUU,1
FCS,7.6
HPC,8.1
HIC,2.2
IBD,5.6
IBT,5.9
IDB,7.7
IDX,6.5
IDA,6.9
LTE,4.8
LCN,22.3
LAC,23
TLA,22.7
LDC,6.2
LMY,5.9
LIC,7.3
LMC,4.6
MEA,3.4
MNA,3.7
TMN,3.8
MIC,5.7
NAC,4.6
INX,
OED,3.6
OSS,9.2
PSS,3.4
PST,2.3
PRE,8.1
SST,13
SAS,3.6
TSA,3.6
SSF,9.4
SSA,9.4
TSS,9.4
UMC,7
WLD,5.3
