ISO,Rank,FR_Country,EN_country,ES_country,Underlying situation score 2016,Abuse score 2016,Overall Score 2016,Progression RANK,Rank 2015,Score 2015,Zone
NOR,1,Norvège,Norway,Noruega,"7,60","0,00","7,60",2,3,"8,79",UE Balkans
SWE,2,Suede,Sweden,Suecia,"7,59","10,99","8,27",6,8,"12,33",UE Balkans
FIN,3,Finlande,Finland,Finlandia,"8,92","0,00","8,92",-2,1,"8,59",UE Balkans
DNK,4,Danemark,Denmark,Dinamarca,"10,36","0,00","10,36",0,4,"8,89",UE Balkans
NLD,5,Pays-Bas,Netherlands,Países Bajos,"9,63","17,92","11,28",-3,2,"8,76",UE Balkans
CRI,6,Costa Rica,Costa Rica,Costa Rica,"11,93","0,00","11,93",0,6,"11,1",Amériques
CHE,7,Suisse,Switzerland,Suiza,"12,13","0,00","12,13",0,7,"11,76",UE Balkans
JAM,8,Jamaïque,Jamaica,Jamaica,"12,73","0,00","12,73",2,10,"12,45",Amériques
BEL,9,Belgique,Belgium,Bélgica,"12,47","13,86","12,75",4,13,"14,18",UE Balkans
ISL,10,Islande,Iceland,Islandia,"13,03","0,00","13,03",9,19,"15,3",UE Balkans
AUT,11,Autriche,Austria,Austria,"13,47","0,00","13,47",0,11,"13,18",UE Balkans
EST,12,Estonie,Estonia,Estonia,"13,55","0,00","13,55",2,14,"14,31",UE Balkans
NZL,13,Nouvelle-Zélande,New Zealand,Nueva Zelanda,"13,98","0,00","13,98",-8,5,"10,01",Asie-Pacifique
IRL,14,Irlande,Ireland,Irlanda,"14,08","0,00","14,08",-5,9,"12,4",UE Balkans
LUX,15,Luxembourg,Luxembourg,Luxemburgo,"14,72","0,00","14,72",0,15,"14,43",UE Balkans
DEU,16,Allemagne,Germany,Alemania,"11,35","29,44","14,97",0,16,"14,8",UE Balkans
SVK,17,Slovaquie,Slovakia,Eslovaquia,"15,51","0,00","15,51",-5,12,"13,26",UE Balkans
PRT,18,Portugal,Portugal,Portugal,"15,77","0,00","15,77",5,23,"17,27",UE Balkans
AUS,19,Australie,Australia,Australia,"16,02","0,00","16,02",6,25,"17,84",Asie-Pacifique
SUR,20,Surinam,Suriname,Surinam,"16,07","0,00","16,07",2,22,"16,7",Amériques
WSM,21,Samoa,Samoa,Samoa,"16,41","0,00","16,41",8,29,"18,8",Asie-Pacifique
CAN,22,Canada,Canada,Canadà,"16,53","0,00","16,53",-4,18,"15,26",Amériques
CZE,23,République tchèque,Czech Republic,Repœblica Checa,"16,91","0,00","16,91",-2,21,"16,66",UE Balkans
NAM,24,Namibie,Namibia,Namibia,"17,08","0,00","17,08",-7,17,"15,15",Afrique
URY,25,URUGUAY,Uruguay,Uruguay,"17,43","6,93","17,43",-5,20,"15,88",Amériques
